Date,Sales,Residential category,County
Jan 2001,669,1-4 Unit Residential,Fairfield
Jan 2001,277,Condominium,Fairfield
Jan 2001,25,New Construction,Fairfield
Feb 2001,607,1-4 Unit Residential,Fairfield
Feb 2001,247,Condominium,Fairfield
Feb 2001,11,New Construction,Fairfield
Mar 2001,780,1-4 Unit Residential,Fairfield
Mar 2001,324,Condominium,Fairfield
Mar 2001,12,New Construction,Fairfield
Apr 2001,352,Condominium,Fairfield
Apr 2001,883,1-4 Unit Residential,Fairfield
Apr 2001,6,New Construction,Fairfield
May 2001,1014,1-4 Unit Residential,Fairfield
May 2001,389,Condominium,Fairfield
May 2001,9,New Construction,Fairfield
Jun 2001,1329,1-4 Unit Residential,Fairfield
Jun 2001,459,Condominium,Fairfield
Jun 2001,12,New Construction,Fairfield
Jul 2001,1182,1-4 Unit Residential,Fairfield
Jul 2001,401,Condominium,Fairfield
Jul 2001,16,New Construction,Fairfield
Aug 2001,1405,1-4 Unit Residential,Fairfield
Aug 2001,499,Condominium,Fairfield
Aug 2001,13,New Construction,Fairfield
Sep 2001,893,1-4 Unit Residential,Fairfield
Sep 2001,344,Condominium,Fairfield
Sep 2001,5,New Construction,Fairfield
Oct 2001,980,1-4 Unit Residential,Fairfield
Oct 2001,407,Condominium,Fairfield
Oct 2001,2,New Construction,Fairfield
Nov 2001,330,Condominium,Fairfield
Nov 2001,776,1-4 Unit Residential,Fairfield
Nov 2001,10,New Construction,Fairfield
Dec 2001,822,1-4 Unit Residential,Fairfield
Dec 2001,318,Condominium,Fairfield
Dec 2001,16,New Construction,Fairfield
Jan 2002,809,1-4 Unit Residential,Fairfield
Jan 2002,281,Condominium,Fairfield
Feb 2002,630,1-4 Unit Residential,Fairfield
Feb 2002,277,Condominium,Fairfield
Mar 2002,870,1-4 Unit Residential,Fairfield
Mar 2002,305,Condominium,Fairfield
Apr 2002,991,1-4 Unit Residential,Fairfield
Apr 2002,335,Condominium,Fairfield
May 2002,1134,1-4 Unit Residential,Fairfield
May 2002,425,Condominium,Fairfield
Jun 2002,1315,1-4 Unit Residential,Fairfield
Jun 2002,424,Condominium,Fairfield
Jul 2002,1413,1-4 Unit Residential,Fairfield
Jul 2002,444,Condominium,Fairfield
Aug 2002,465,Condominium,Fairfield
Aug 2002,1412,1-4 Unit Residential,Fairfield
Sep 2002,830,1-4 Unit Residential,Fairfield
Sep 2002,362,Condominium,Fairfield
Oct 2002,1021,1-4 Unit Residential,Fairfield
Oct 2002,450,Condominium,Fairfield
Nov 2002,902,1-4 Unit Residential,Fairfield
Nov 2002,378,Condominium,Fairfield
Dec 2002,888,1-4 Unit Residential,Fairfield
Dec 2002,352,Condominium,Fairfield
Jan 2003,339,Condominium,Fairfield
Jan 2003,809,1-4 Unit Residential,Fairfield
Feb 2003,584,1-4 Unit Residential,Fairfield
Feb 2003,252,Condominium,Fairfield
Mar 2003,807,1-4 Unit Residential,Fairfield
Mar 2003,366,Condominium,Fairfield
Apr 2003,893,1-4 Unit Residential,Fairfield
Apr 2003,350,Condominium,Fairfield
May 2003,1007,1-4 Unit Residential,Fairfield
May 2003,381,Condominium,Fairfield
Jun 2003,1271,1-4 Unit Residential,Fairfield
Jun 2003,490,Condominium,Fairfield
Jul 2003,471,Condominium,Fairfield
Jul 2003,1425,1-4 Unit Residential,Fairfield
Aug 2003,1424,1-4 Unit Residential,Fairfield
Aug 2003,428,Condominium,Fairfield
Sep 2003,1185,1-4 Unit Residential,Fairfield
Sep 2003,396,Condominium,Fairfield
Oct 2003,1127,1-4 Unit Residential,Fairfield
Oct 2003,408,Condominium,Fairfield
Nov 2003,936,1-4 Unit Residential,Fairfield
Nov 2003,365,Condominium,Fairfield
Dec 2003,370,Condominium,Fairfield
Dec 2003,1034,1-4 Unit Residential,Fairfield
Jan 2004,266,Condominium,Fairfield
Jan 2004,780,1-4 Unit Residential,Fairfield
Feb 2004,280,Condominium,Fairfield
Feb 2004,667,1-4 Unit Residential,Fairfield
Mar 2004,910,1-4 Unit Residential,Fairfield
Mar 2004,409,Condominium,Fairfield
Apr 2004,1026,1-4 Unit Residential,Fairfield
